Commune,Taux d'incidence,Taux de positivité
Clamecy (58),150 à 250,15 à 20
Subligny (89),150 à 250,15 à 20
Ancey (21),150 à 250,5 à 10
Pont-sur-Yonne (89),150 à 250,10 à 15
Brans (39),150 à 250,10 à 15
Velleclaire (70),250 à 500,10 à 15
Nevers (58),250 à 500,15 à 20
Iguerande (71),500 à 1000,30 et plus
Gisy-les-Nobles (89),150 à 250,30 et plus
Silley-Bléfond (25),250 à 500,10 à 15
Sevrey (71),250 à 500,20 à 25
Messia-sur-Sorne (39),1000 et plus,30 et plus
Moutiers-Saint-Jean (21),150 à 250,5 à 10
Arc-sur-Tille (21),500 à 1000,20 à 25
Pesmes (70),250 à 500,5 à 10
Messey-sur-Grosne (71),250 à 500,20 à 25
Raveau (58),500 à 1000,30 et plus
Arsans (70),500 à 1000,20 à 25
Crenans (39),250 à 500,10 à 15
Avanne-Aveney (25),250 à 500,20 à 25
Semur-en-Brionnais (71),1000 et plus,30 et plus
La Villedieu-en-Fontenette (70),150 à 250,20 à 25
Esnans (25),150 à 250,10 à 15
Saint-Julien-de-Civry (71),150 à 250,30 et plus
Soing-Cubry-Charentenay (70),250 à 500,15 à 20
Ouanne (89),150 à 250,25 à 30
Chaucenne (25),250 à 500,10 à 15
Évette-Salbert (90),250 à 500,15 à 20
Les Repôts (39),250 à 500,15 à 20
Thervay (39),50 à 150,5 à 10
Autrey-lès-Gray (70),500 à 1000,15 à 20
Peintre (39),50 à 150,10 à 15
Marigny (39),1000 et plus,20 à 25
Pouilley-Français (25),500 à 1000,15 à 20
Le Pin (39),250 à 500,15 à 20
Saint-Vit (25),500 à 1000,20 à 25
Montigny-la-Resle (89),250 à 500,10 à 15
Battrans (70),250 à 500,10 à 15
Oigny (21),0 à 10,1 à 5
Hyèvre-Paroisse (25),250 à 500,10 à 15
Épinac (71),50 à 150,10 à 15
Abergement-le-Grand (39),250 à 500,10 à 15
Purgerot (70),150 à 250,10 à 15
Hautecour (39),1000 et plus,30 et plus
Abergement-lès-Thésy (39),50 à 150,5 à 10
Genlis (21),150 à 250,15 à 20
Roppe (90),0 à 10,0 à 1
Champagney (25),250 à 500,15 à 20
Montrond-le-Château (25),250 à 500,15 à 20
Épineau-les-Voves (89),500 à 1000,30 et plus
Recanoz (39),150 à 250,10 à 15
Broin (21),20 à 50,5 à 10
Grosbois (25),150 à 250,10 à 15
Citey (70),250 à 500,15 à 20
Fahy-lès-Autrey (70),500 à 1000,20 à 25
Menesble (21),0 à 10,1 à 5
Beaune (21),250 à 500,20 à 25
Neurey-en-Vaux (70),150 à 250,15 à 20
Ferrières-lès-Ray (70),250 à 500,5 à 10
Deux Rivières (89),250 à 500,25 à 30
Vitteaux (21),1000 et plus,20 à 25
Thury (89),20 à 50,5 à 10
Charmoille (25),50 à 150,5 à 10
Choye (70),250 à 500,10 à 15
Lombard (25),250 à 500,15 à 20
Menétrux-en-Joux (39),500 à 1000,30 et plus
Essertenne-et-Cecey (70),500 à 1000,25 à 30
Villevieux (39),500 à 1000,20 à 25
Vellefrey-et-Vellefrange (70),250 à 500,15 à 20
Suilly-la-Tour (58),50 à 150,10 à 15
Ladoix-Serrigny (21),50 à 150,5 à 10
Savoyeux (70),250 à 500,20 à 25
Foncine-le-Haut (39),250 à 500,15 à 20
Soucia (39),1000 et plus,30 et plus
Tonnerre (89),250 à 500,20 à 25
Treigny-Perreuse-Sainte-Colombe (89),250 à 500,30 et plus
Vallery (89),150 à 250,15 à 20
Villars-Saint-Georges (25),250 à 500,15 à 20
Meuilley (21),250 à 500,20 à 25
Villers-Rotin (21),1000 et plus,30 et plus
Bligny-lès-Beaune (21),250 à 500,10 à 15
Til-Châtel (21),250 à 500,30 et plus
Chagny (71),150 à 250,10 à 15
Ancier (70),250 à 500,20 à 25
Briod (39),500 à 1000,10 à 15
Villards-d'Héria (39),1000 et plus,30 et plus
Velesmes-Échevanne (70),500 à 1000,20 à 25
Ferrières-les-Bois (25),250 à 500,15 à 20
Sirod (39),1000 et plus,20 à 25
Fontenotte (25),150 à 250,10 à 15
Thurey (71),500 à 1000,30 et plus
Fourbanne (25),250 à 500,10 à 15
Courtetain-et-Salans (25),500 à 1000,30 et plus
Saint-Symphorien-de-Marmagne (71),500 à 1000,30 et plus
Neuvelle-lès-la-Charité (70),250 à 500,25 à 30
Goux-sous-Landet (25),250 à 500,15 à 20
Val Suran (39),250 à 500,20 à 25
Angirey (70),250 à 500,15 à 20
Semond (21),0 à 10,1 à 5
Saint-Lamain (39),50 à 150,5 à 10
Montigny-lès-Arsures (39),500 à 1000,30 et plus
Baulay (70),150 à 250,20 à 25
Montmirey-le-Château (39),50 à 150,10 à 15
Nogna (39),500 à 1000,10 à 15
Aubigny-en-Plaine (21),10 à 20,0 à 1
Étang-sur-Arroux (71),150 à 250,20 à 25
Saint-Albain (71),500 à 1000,25 à 30
Trévenans (90),250 à 500,5 à 10
Battenans-Varin (25),50 à 150,10 à 15
Coteaux du Lizon (39),500 à 1000,30 et plus
Mérey-sous-Montrond (25),250 à 500,10 à 15
Billy-lès-Chanceaux (21),0 à 10,1 à 5
Saône (25),250 à 500,15 à 20
Ruffey-sur-Seille (39),500 à 1000,15 à 20
Berthelange (25),500 à 1000,20 à 25
Vauclusotte (25),150 à 250,10 à 15
Oiselay-et-Grachaux (70),250 à 500,15 à 20
Morbier (39),500 à 1000,20 à 25
Cluny (71),250 à 500,20 à 25
Saint-Gand (70),250 à 500,25 à 30
Cessey (25),250 à 500,15 à 20
Marsannay-la-Côte (21),500 à 1000,25 à 30
Pougny (58),250 à 500,10 à 15
Gergy (71),250 à 500,25 à 30
Beaufort-Orbagna (39),250 à 500,10 à 15
Pelousey (25),250 à 500,15 à 20
Monéteau (89),500 à 1000,25 à 30
Menotey (39),250 à 500,25 à 30
Digoin (71),500 à 1000,30 et plus
Vantoux-et-Longevelle (70),250 à 500,10 à 15
Fontainebrux (39),250 à 500,10 à 15
Mantry (39),500 à 1000,15 à 20
Onay (70),250 à 500,20 à 25
Ouvans (25),500 à 1000,25 à 30
Marcilly-lès-Buxy (71),150 à 250,15 à 20
Commenailles (39),500 à 1000,15 à 20
Courbette (39),250 à 500,20 à 25
Dampierre-en-Bresse (71),1000 et plus,30 et plus
Lantenne-Vertière (25),250 à 500,15 à 20
Cugney (70),250 à 500,15 à 20
Verne (25),250 à 500,10 à 15
Mercey-le-Grand (25),250 à 500,15 à 20
Nuits-Saint-Georges (21),150 à 250,15 à 20
Saint-Martin-en-Bresse (71),50 à 150,10 à 15
Ounans (39),150 à 250,5 à 10
La Frasnée (39),500 à 1000,25 à 30
Charette-Varennes (71),150 à 250,5 à 10
Mercey-sur-Saône (70),250 à 500,25 à 30
Rye (39),500 à 1000,30 et plus
Frasne-le-Château (70),250 à 500,15 à 20
Saint-Sernin-du-Bois (71),250 à 500,25 à 30
Châtillon (39),1000 et plus,30 et plus
Le Vernoy (25),50 à 150,5 à 10
Valzin en Petite Montagne (39),1000 et plus,30 et plus
Saulon-la-Chapelle (21),500 à 1000,30 et plus
Gredisans (39),150 à 250,10 à 15
Franey (25),1000 et plus,30 et plus
Cusance (25),250 à 500,10 à 15
Offlanges (39),150 à 250,10 à 15
Montureux-et-Prantigny (70),500 à 1000,20 à 25
Crotenay (39),500 à 1000,20 à 25
Voillans (25),250 à 500,10 à 15
Villers-Chemin-et-Mont-lès-Étrelles (70),250 à 500,15 à 20
Gurgy (89),250 à 500,25 à 30
Montivernage (25),250 à 500,15 à 20
Saint-Privé (89),500 à 1000,20 à 25
Villers-Chief (25),500 à 1000,30 et plus
Bretonvillers (25),50 à 150,5 à 10
Varzy (58),250 à 500,15 à 20
Vielmanay (58),500 à 1000,30 et plus
Auvet-et-la-Chapelotte (70),250 à 500,20 à 25
Ney (39),1000 et plus,20 à 25
Luxiol (25),500 à 1000,25 à 30
Landresse (25),500 à 1000,20 à 25
Tavaux (39),250 à 500,15 à 20
La Chapelle-sur-Oreuse (89),10 à 20,0 à 1
Villaines-en-Duesmois (21),0 à 10,0 à 1
Argilly (21),150 à 250,10 à 15
Brevans (39),250 à 500,15 à 20
Corcondray (25),250 à 500,15 à 20
Bourguignon (25),500 à 1000,30 et plus
Saint-Florentin (89),500 à 1000,25 à 30
Mary (71),1000 et plus,30 et plus
Bartherans (25),250 à 500,5 à 10
Bretigney-Notre-Dame (25),150 à 250,10 à 15
Abbans-Dessus (25),250 à 500,15 à 20
Attricourt (70),250 à 500,20 à 25
Villebougis (89),250 à 500,30 et plus
Saint-Germain-du-Plain (71),1000 et plus,30 et plus
Flagey-lès-Auxonne (21),150 à 250,10 à 15
Villers-Farlay (39),250 à 500,20 à 25
Looze (89),50 à 150,5 à 10
Tavernay (71),150 à 250,30 et plus
Ligny-le-Châtel (89),150 à 250,10 à 15
Geraise (39),50 à 150,5 à 10
Serrigny-en-Bresse (71),250 à 500,15 à 20
Villers-le-Lac (25),500 à 1000,30 et plus
Longevelle-lès-Russey (25),150 à 250,10 à 15
Sainte-Reine (70),250 à 500,20 à 25
Vincent-Froideville (39),150 à 250,5 à 10
Pouillenay (21),500 à 1000,15 à 20
Nevy-lès-Dole (39),150 à 250,5 à 10
Publy (39),500 à 1000,15 à 20
Autechaux (25),150 à 250,10 à 15
Labergement-lès-Auxonne (21),500 à 1000,30 et plus
Chemaudin et Vaux (25),250 à 500,20 à 25
Montgesoye (25),250 à 500,25 à 30
Vézelois (90),250 à 500,20 à 25
Contréglise (70),150 à 250,20 à 25
Magny-Montarlot (21),150 à 250,5 à 10
Champvans (70),500 à 1000,25 à 30
Bouhans-et-Feurg (70),500 à 1000,30 et plus
Besançon (25),250 à 500,15 à 20
Château-Chalon (39),250 à 500,15 à 20
Remigny (71),250 à 500,25 à 30
Le Creusot (71),500 à 1000,25 à 30
Recologne (70),250 à 500,20 à 25
Morre (25),250 à 500,15 à 20
La Chaux-du-Dombief (39),1000 et plus,30 et plus
Chaudenay (71),500 à 1000,30 et plus
Myon (25),250 à 500,10 à 15
Châteauneuf-Val-de-Bargis (58),250 à 500,30 et plus
Pessans (25),250 à 500,15 à 20
L'Étoile (39),500 à 1000,25 à 30
Chevigney-lès-Vercel (25),500 à 1000,30 et plus
Lachapelle-sous-Rougemont (90),500 à 1000,25 à 30
Verges (39),500 à 1000,20 à 25
Mesvres (71),250 à 500,20 à 25
Aumont (39),150 à 250,20 à 25
La Vèze (25),250 à 500,15 à 20
Larnaud (39),500 à 1000,20 à 25
Le Tremblois (70),250 à 500,15 à 20
Bonlieu (39),500 à 1000,20 à 25
Miserey-Salines (25),250 à 500,20 à 25
Dammartin-les-Templiers (25),250 à 500,10 à 15
Grange-de-Vaivre (39),250 à 500,20 à 25
L'Abergement-Sainte-Colombe (71),250 à 500,10 à 15
Moux-en-Morvan (58),50 à 150,1 à 5
Mesnay (39),250 à 500,15 à 20
Rillans (25),150 à 250,10 à 15
Vy-le-Ferroux (70),1000 et plus,30 et plus
Villers-les-Pots (21),150 à 250,15 à 20
Serley (71),250 à 500,15 à 20
Saint-Broing (70),500 à 1000,15 à 20
Saint-Loup-d'Ordon (89),500 à 1000,25 à 30
Arces-Dilo (89),20 à 50,1 à 5
Garchy (58),50 à 150,1 à 5
Saint-Léger-sur-Dheune (71),150 à 250,15 à 20
Gy (70),250 à 500,10 à 15
Saint-Seine-en-Bâche (21),250 à 500,20 à 25
Villeferry (21),1000 et plus,30 et plus
Longvic (21),250 à 500,25 à 30
Noidans-le-Ferroux (70),250 à 500,20 à 25
Clairvaux-les-Lacs (39),1000 et plus,30 et plus
Dole (39),250 à 500,15 à 20
Rosureux (25),150 à 250,10 à 15
Le Deschaux (39),150 à 250,10 à 15
Geruge (39),1000 et plus,30 et plus
Songeson (39),500 à 1000,25 à 30
Mellecey (71),250 à 500,20 à 25
Varennes-sous-Dun (71),250 à 500,15 à 20
Saint-Bernard (21),10 à 20,1 à 5
École-Valentin (25),250 à 500,20 à 25
Séchin (25),150 à 250,10 à 15
La Lanterne-et-les-Armonts (70),250 à 500,30 et plus
Lantenot (70),150 à 250,15 à 20
La Vergenne (70),150 à 250,1 à 5
La Corbière (70),50 à 150,10 à 15
Franchevelle (70),150 à 250,10 à 15
Chougny (58),1000 et plus,30 et plus
Sainte-Agnès (39),500 à 1000,20 à 25
Gilly-sur-Loire (71),10 à 20,1 à 5
Venisey (70),150 à 250,10 à 15
Ouge (70),50 à 150,5 à 10
Andelot-Morval (39),250 à 500,15 à 20
Beaumont (89),250 à 500,10 à 15
La Boulaye (71),10 à 20,0 à 1
Broye (71),250 à 500,20 à 25
Montandon (25),250 à 500,25 à 30
Pont-du-Bois (70),250 à 500,20 à 25
Faverois (90),250 à 500,15 à 20
La Fermeté (58),150 à 250,5 à 10
Augea (39),250 à 500,10 à 15
La Villeneuve-Bellenoye-et-la-Maize (70),250 à 500,15 à 20
Rouffange (39),250 à 500,25 à 30
La Longine (70),50 à 150,10 à 15
Saint-Bonnet-de-Vieille-Vigne (71),50 à 150,1 à 5
Charnod (39),1000 et plus,30 et plus
Lucenay-le-Duc (21),500 à 1000,30 et plus
Béard (58),1000 et plus,30 et plus
Jaulges (89),150 à 250,5 à 10
Saint-Nizier-sur-Arroux (71),20 à 50,1 à 5
La Vineuse sur Fregande (71),150 à 250,10 à 15
Saint-Clément-sur-Guye (71),20 à 50,1 à 5
Hurecourt (70),250 à 500,20 à 25
Artaix (71),500 à 1000,30 et plus
Ferrières-lès-Scey (70),250 à 500,20 à 25
Ronchères (89),50 à 150,20 à 25
Saint-Martin-des-Champs (89),500 à 1000,30 et plus
Suin (71),250 à 500,25 à 30
Valonne (25),250 à 500,20 à 25
Abelcourt (70),250 à 500,25 à 30
Val-de-Mercy (89),500 à 1000,25 à 30
Marigna-sur-Valouse (39),1000 et plus,30 et plus
Censy (89),250 à 500,15 à 20
Audincourt (25),250 à 500,15 à 20
Sologny (71),250 à 500,10 à 15
Tamnay-en-Bazois (58),0 à 10,0 à 1
Cortevaix (71),500 à 1000,30 et plus
Vandenesse (58),0 à 10,0 à 1
Saint-Huruge (71),50 à 150,1 à 5
Hugier (70),150 à 250,5 à 10
Ronchamp (70),50 à 150,15 à 20
Borey (70),50 à 150,10 à 15
Dun-sur-Grandry (58),0 à 10,0 à 1
Rancy (71),250 à 500,15 à 20
Jailly-les-Moulins (21),150 à 250,25 à 30
Chenebier (70),250 à 500,15 à 20
Ormoiche (70),150 à 250,15 à 20
Tanay (21),50 à 150,1 à 5
Chérizet (71),150 à 250,30 et plus
Arpenans (70),50 à 150,10 à 15
Jully (89),50 à 150,10 à 15
Clairegoutte (70),250 à 500,25 à 30
Châtenois (70),250 à 500,15 à 20
La Guiche (71),250 à 500,30 et plus
Esboz-Brest (70),150 à 250,15 à 20
Ancy-le-Libre (89),150 à 250,10 à 15
Chavanne (70),50 à 150,5 à 10
Le Rousset-Marizy (71),500 à 1000,30 et plus
Toucy (89),250 à 500,20 à 25
Luze (70),250 à 500,25 à 30
Velleminfroy (70),250 à 500,15 à 20
Chaussenans (39),1000 et plus,30 et plus
Farges-lès-Mâcon (71),250 à 500,15 à 20
Brinay (58),0 à 10,0 à 1
Écromagny (70),250 à 500,25 à 30
Aroz (70),1000 et plus,30 et plus
Lacrost (71),250 à 500,5 à 10
Brevilliers (70),50 à 150,5 à 10
Sancey (25),50 à 150,1 à 5
Saint-Dizier-l'Évêque (90),10 à 20,0 à 1
Thil-sur-Arroux (71),20 à 50,10 à 15
Coulanges-la-Vineuse (89),250 à 500,30 et plus
Talmay (21),1000 et plus,20 à 25
Thoirette-Coisia (39),1000 et plus,30 et plus
Anchenoncourt-et-Chazel (70),250 à 500,15 à 20
Viry (39),1000 et plus,30 et plus
Gissey-le-Vieil (21),500 à 1000,30 et plus
Baudrières (71),150 à 250,10 à 15
Saulnot (70),50 à 150,5 à 10
Sainte-Marie-en-Chaux (70),50 à 150,10 à 15
Les Guerreaux (71),10 à 20,0 à 1
Magny-lès-Jussey (70),50 à 150,5 à 10
Froideconche (70),150 à 250,15 à 20
Colombotte (70),250 à 500,15 à 20
Royer (71),500 à 1000,15 à 20
Champigny (89),50 à 150,5 à 10
Bay (70),150 à 250,5 à 10
Saint-Sauveur-en-Puisaye (89),250 à 500,30 et plus
Saxi-Bourdon (58),50 à 150,5 à 10
Martailly-lès-Brancion (71),1000 et plus,30 et plus
Bresse-sur-Grosne (71),1000 et plus,30 et plus
Le Planois (71),150 à 250,15 à 20
Flavigny-sur-Ozerain (21),1000 et plus,25 à 30
Bousseraucourt (70),150 à 250,10 à 15
Saint-Marcel (70),150 à 250,10 à 15
Ougney-Douvot (25),250 à 500,20 à 25
Chassignelles (89),150 à 250,15 à 20
Sichamps (58),20 à 50,1 à 5
Bantanges (71),500 à 1000,20 à 25
Vilory (70),250 à 500,15 à 20
Heuilley-sur-Saône (21),150 à 250,10 à 15
Granges-le-Bourg (70),50 à 150,5 à 10
Le Tartre (71),250 à 500,20 à 25
Alluy (58),0 à 10,0 à 1
Ternuay-Melay-et-Saint-Hilaire (70),250 à 500,10 à 15
Pont-sur-Vanne (89),20 à 50,20 à 25
Chassey (21),150 à 250,1 à 5
Barges (70),150 à 250,10 à 15
Malbouhans (70),150 à 250,10 à 15
Villiers-Vineux (89),50 à 150,5 à 10
La Proiselière-et-Langle (70),50 à 150,10 à 15
Gevigney-et-Mercey (70),150 à 250,10 à 15
Ailloncourt (70),50 à 150,10 à 15
Bourguignon-lès-Conflans (70),150 à 250,10 à 15
Montpont-en-Bresse (71),500 à 1000,20 à 25
Bazolles (58),0 à 10,0 à 1
Saules (71),50 à 150,5 à 10
La Chapelle-lès-Luxeuil (70),150 à 250,10 à 15
Granges-la-Ville (70),50 à 150,10 à 15
Gigny (39),500 à 1000,30 et plus
Granges (71),250 à 500,20 à 25
Monnetay (39),150 à 250,20 à 25
Coisevaux (70),50 à 150,10 à 15
Bergesserin (71),1000 et plus,30 et plus
Cuisery (71),250 à 500,15 à 20
Les Planches-en-Montagne (39),50 à 150,10 à 15
Foissy-sur-Vanne (89),20 à 50,1 à 5
Velorcey (70),50 à 150,10 à 15
Joux-la-Ville (89),50 à 150,5 à 10
Le Puley (71),20 à 50,1 à 5
Saint-Franchy (58),20 à 50,10 à 15
Champagne-sur-Vingeanne (21),50 à 150,5 à 10
Betaucourt (70),150 à 250,10 à 15
Battenans-les-Mines (25),250 à 500,20 à 25
Saint-Marcelin-de-Cray (71),50 à 150,1 à 5
Beaumont-la-Ferrière (58),20 à 50,15 à 20
Selles (70),250 à 500,20 à 25
Magny-Saint-Médard (21),50 à 150,5 à 10
Saint-Bonnet-de-Joux (71),500 à 1000,30 et plus
Servigney (70),250 à 500,5 à 10
Lomont (70),150 à 250,5 à 10
Cercy-la-Tour (58),500 à 1000,30 et plus
Aisey-et-Richecourt (70),150 à 250,5 à 10
Ciez (58),150 à 250,15 à 20
Chardonnay (71),500 à 1000,15 à 20
Moulins-Engilbert (58),0 à 10,0 à 1
Alise-Sainte-Reine (21),250 à 500,15 à 20
Mornay (71),1000 et plus,30 et plus
Sambourg (89),50 à 150,1 à 5
Aboncourt-Gesincourt (70),150 à 250,10 à 15
Jalogny (71),1000 et plus,30 et plus
Vosbles-Valfin (39),1000 et plus,30 et plus
Vellechevreux-et-Courbenans (70),50 à 150,10 à 15
Mosson (21),1000 et plus,30 et plus
Aisey-sur-Seine (21),0 à 10,5 à 10
Pontcey (70),500 à 1000,20 à 25
Montagny-près-Louhans (71),500 à 1000,15 à 20
Gissey-sous-Flavigny (21),150 à 250,1 à 5
Liévans (70),250 à 500,15 à 20
Chauvirey-le-Vieil (70),50 à 150,5 à 10
Magny-Vernois (70),150 à 250,15 à 20
Raincourt (70),50 à 150,10 à 15
Saint-Broing-les-Moines (21),0 à 10,0 à 1
Saint-Ythaire (71),50 à 150,1 à 5
Faymont (70),150 à 250,10 à 15
Montdoré (70),250 à 500,20 à 25
Blanot (71),500 à 1000,30 et plus
Montmançon (21),150 à 250,20 à 25
Broissia (39),250 à 500,25 à 30
Murlin (58),20 à 50,15 à 20
Neuvilley (39),150 à 250,5 à 10
Chantes (70),500 à 1000,25 à 30
Glère (25),500 à 1000,30 et plus
Sens-sur-Seille (71),500 à 1000,30 et plus
Orve (25),20 à 50,1 à 5
Étrigny (71),250 à 500,10 à 15
Giromagny (90),500 à 1000,30 et plus
Salornay-sur-Guye (71),500 à 1000,5 à 10
Mont-Saint-Sulpice (89),50 à 150,10 à 15
Arinthod (39),1000 et plus,30 et plus
Ormoy (70),150 à 250,5 à 10
Plasne (39),500 à 1000,30 et plus
Chazot (25),20 à 50,1 à 5
Voujeaucourt (25),250 à 500,25 à 30
Sainte-Foy (71),20 à 50,25 à 30
Magny-Jobert (70),150 à 250,15 à 20
Ovanches (70),250 à 500,20 à 25
Rupt-sur-Saône (70),500 à 1000,25 à 30
Butteaux (89),50 à 150,1 à 5
La Creuse (70),250 à 500,15 à 20
Saint-Germain (70),250 à 500,25 à 30
Argentenay (89),150 à 250,10 à 15
Froidevaux (25),1000 et plus,30 et plus
Mollans (70),250 à 500,15 à 20
Vernois-sur-Mance (70),150 à 250,10 à 15
Saint-Usuge (71),500 à 1000,20 à 25
Secenans (70),50 à 150,10 à 15
Traves (70),500 à 1000,20 à 25
Buvilly (39),150 à 250,10 à 15
Bouhans-lès-Lure (70),50 à 150,5 à 10
La Pisseure (70),150 à 250,10 à 15
Baugy (71),500 à 1000,25 à 30
La Machine (58),50 à 150,5 à 10
Péseux (25),250 à 500,10 à 15
Chalèze (25),250 à 500,15 à 20
Saint-Micaud (71),20 à 50,5 à 10
Chagey (70),50 à 150,5 à 10
Giry (58),500 à 1000,15 à 20
Mignavillers (70),50 à 150,5 à 10
Quers (70),150 à 250,10 à 15
Recey-sur-Ource (21),500 à 1000,30 et plus
Breuches (70),250 à 500,15 à 20
Brienne (71),1000 et plus,30 et plus
Moutiers-en-Puisaye (89),250 à 500,30 et plus
Pothières (21),0 à 10,0 à 1
Brion (71),20 à 50,10 à 15
Frédéric-Fontaine (70),150 à 250,5 à 10
Amagney (25),250 à 500,20 à 25
Crevans-et-la-Chapelle-lès-Granges (70),50 à 150,5 à 10
Bretenières (39),150 à 250,20 à 25
Bourbévelle (70),150 à 250,10 à 15
Rougemontot (25),250 à 500,15 à 20
La Favière (39),150 à 250,1 à 5
Taxenne (39),250 à 500,15 à 20
Germagny (71),50 à 150,1 à 5
Lyoffans (70),150 à 250,10 à 15
Montcourt (70),50 à 150,10 à 15
Saligney (39),250 à 500,15 à 20
Étevaux (21),1000 et plus,25 à 30
Ranzevelle (70),150 à 250,10 à 15
Montessaux (70),250 à 500,30 et plus
Mailleroncourt-Charette (70),250 à 500,15 à 20
Miéry (39),150 à 250,5 à 10
Bonnay (71),50 à 150,1 à 5
Dyé (89),50 à 150,5 à 10
Verjux (71),250 à 500,30 et plus
Mailleroncourt-Saint-Pancras (70),250 à 500,20 à 25
Lurcy-le-Bourg (58),20 à 50,1 à 5
Charmes (21),50 à 150,20 à 25
Beveuge (70),50 à 150,10 à 15
Thenissey (21),150 à 250,30 et plus
La Côte (70),150 à 250,15 à 20
Saint-Péreuse (58),0 à 10,1 à 5
Villars-le-Pautel (70),150 à 250,10 à 15
Buncey (21),0 à 10,5 à 10
Fley (71),50 à 150,5 à 10
Lailly (89),1000 et plus,30 et plus
Faverolles-lès-Lucey (21),0 à 10,5 à 10
Vix (21),0 à 10,0 à 1
Hauterive (89),50 à 150,5 à 10
Corbenay (70),150 à 250,10 à 15
Beaucourt (90),250 à 500,15 à 20
Sainte-Colombe-sur-Seine (21),50 à 150,10 à 15
Précy-le-Sec (89),250 à 500,25 à 30
Gigny (89),50 à 150,10 à 15
Thianges (58),50 à 150,5 à 10
Villiers-les-Hauts (89),150 à 250,15 à 20
Tartécourt (70),50 à 150,5 à 10
Larrivoire (39),1000 et plus,30 et plus
Valdoie (90),250 à 500,10 à 15
Noiron-sur-Bèze (21),50 à 150,5 à 10
Feule (25),250 à 500,10 à 15
La Motte-Saint-Jean (71),250 à 500,25 à 30
Cersot (71),50 à 150,30 et plus
Oricourt (70),50 à 150,10 à 15
Huilly-sur-Seille (71),20 à 50,1 à 5
Mournans-Charbonny (39),1000 et plus,30 et plus
Curtil-sous-Burnand (71),500 à 1000,30 et plus
Dambenoît-lès-Colombe (70),150 à 250,15 à 20
Burzy (71),50 à 150,1 à 5
Vitreux (39),250 à 500,20 à 25
Bernouil (89),50 à 150,1 à 5
Malange (39),150 à 250,10 à 15
Bissy-sur-Fley (71),20 à 50,5 à 10
Trémoins (70),50 à 150,5 à 10
Bougey (70),150 à 250,5 à 10
Ougney (39),250 à 500,20 à 25
Le Val-de-Gouhenans (70),150 à 250,15 à 20
Tintury (58),0 à 10,0 à 1
Calmoutier (70),250 à 500,15 à 20
Les Fessey (70),50 à 150,10 à 15
Chavanatte (90),10 à 20,15 à 20
Luxeuil-les-Bains (70),150 à 250,10 à 15
Arthel (58),20 à 50,10 à 15
Donzy-le-Pertuis (71),500 à 1000,30 et plus
Vellefrie (70),250 à 500,15 à 20
Échenans (25),50 à 150,1 à 5
Belverne (70),50 à 150,10 à 15
Vyt-lès-Belvoir (25),1000 et plus,25 à 30
Éhuns (70),50 à 150,5 à 10
Barretaine (39),150 à 250,5 à 10
Amont-et-Effreney (70),50 à 150,5 à 10
Bray (71),1000 et plus,30 et plus
Chemilly (70),500 à 1000,25 à 30
Montancy (25),250 à 500,30 et plus
Frotey-lès-Lure (70),150 à 250,10 à 15
Citers (70),50 à 150,10 à 15
Saint-Maurice (58),20 à 50,10 à 15
Aunay-en-Bazois (58),0 à 10,1 à 5
Beaumont-sur-Vingeanne (21),500 à 1000,30 et plus
Devrouze (71),250 à 500,5 à 10
Genevrey (70),250 à 500,10 à 15
Billecul (39),150 à 250,30 et plus
La Voivre (70),50 à 150,10 à 15
Le Villars (71),250 à 500,10 à 15
Saints-en-Puisaye (89),20 à 50,1 à 5
Blondefontaine (70),150 à 250,10 à 15
Betoncourt-lès-Brotte (70),50 à 150,5 à 10
Chassey-lès-Scey (70),250 à 500,20 à 25
Saint-Vincent-des-Prés (71),1000 et plus,30 et plus
Vaux-sur-Poligny (39),1000 et plus,30 et plus
Pomoy (70),250 à 500,10 à 15
Champey (70),250 à 500,15 à 20
Blagny-sur-Vingeanne (21),50 à 150,25 à 30
Allondans (25),50 à 150,1 à 5
Montigny-lès-Cherlieu (70),50 à 150,10 à 15
Melincourt (70),250 à 500,20 à 25
Percey (89),50 à 150,5 à 10
Jonvelle (70),500 à 1000,30 et plus
Corravillers (70),50 à 150,10 à 15
Montlainsia (39),250 à 500,20 à 25
Gouhelans (25),50 à 150,5 à 10
Gizia (39),250 à 500,10 à 15
Échenans-sous-Mont-Vaudois (70),250 à 500,15 à 20
Villers-sur-Saulnot (70),50 à 150,5 à 10
Laire (25),50 à 150,10 à 15
Courtoin (89),10 à 20,10 à 15
Darcey (21),150 à 250,10 à 15
Vallan (89),150 à 250,15 à 20
Fougerolles-Saint-Valbert (70),150 à 250,15 à 20
Solemont (25),1000 et plus,30 et plus
Cemboing (70),150 à 250,5 à 10
Perrigny-sur-l'Ognon (21),250 à 500,15 à 20
Vougécourt (70),150 à 250,5 à 10
Argenteuil-sur-Armançon (89),500 à 1000,30 et plus
Villerserine (39),150 à 250,5 à 10
Gy-l'Évêque (89),250 à 500,30 et plus
Les Sièges (89),20 à 50,1 à 5
Rignovelle (70),150 à 250,15 à 20
Maxilly-sur-Saône (21),150 à 250,15 à 20
La Montagne (70),50 à 150,10 à 15
Fulvy (89),150 à 250,10 à 15
Georfans (70),50 à 150,10 à 15
Cendrecourt (70),150 à 250,10 à 15
Biches (58),0 à 10,0 à 1
